id,sub_category,code,description,is_active,local_code
9870,OUTPATIENT/INPATIENT CONSULTATIONS,99241,New consultation with a Clinical Officer / Dental Therapist,TRUE,340
9871,OUTPATIENT/INPATIENT CONSULTATIONS,99211,Follow up consultation with a Clinical Officer / Dental Therapist,TRUE,550
9872,OUTPATIENT/INPATIENT CONSULTATIONS,99242,New consultation with an Assistant Medical Officer / Assistant Dental Officer,TRUE,660
9873,OUTPATIENT/INPATIENT CONSULTATIONS,99212,Follow up consultation with an Assistant Medical Officer / Assistant Dental Officer,TRUE,459
9874,OUTPATIENT/INPATIENT CONSULTATIONS,99243,New consultation with a Medical Officer / Dental Officer,TRUE,223
9875,OUTPATIENT/INPATIENT CONSULTATIONS,99213,Follow up consultation with a Medical Officer / Dental Officer,TRUE,12
9876,OUTPATIENT/INPATIENT CONSULTATIONS,99244,New consultation with a Medical Specialist / Dental Specialist,TRUE,23232
9877,OUTPATIENT/INPATIENT CONSULTATIONS,99214,Follow up consultation with a Medical Specialist / Dental Specialist,TRUE,121
9878,OUTPATIENT/INPATIENT CONSULTATIONS,99245,New consultation with a Super Specialist,TRUE,
9879,OUTPATIENT/INPATIENT CONSULTATIONS,99215,Follow up consultation with a Super Specialist,TRUE,
9880,OUTPATIENT/INPATIENT CONSULTATIONS,99382,"New consultation therapist with diploma(physiotherapy, occupational therapy,  speech therapy)",TRUE,
9881,OUTPATIENT/INPATIENT CONSULTATIONS,97169,"Follow up Consultation therapist with diploma(physiotherapy, occupational therapy,  speech therapy)",TRUE,
9882,OUTPATIENT/INPATIENT CONSULTATIONS,99383,"New consultation therapist with degree(physiotherapy, occupational therapy,  speech therapy)",TRUE,
9883,OUTPATIENT/INPATIENT CONSULTATIONS,99386,"Follow up Consultation therapist/psychology with degree(physiotherapy,  occupational therapy, speech therapy)",TRUE,
9884,OUTPATIENT/INPATIENT CONSULTATIONS,99387,"New consultation therapist/psychology specialist (physiotherapy, occupational  therapy, speech therapy)",TRUE,
9885,OUTPATIENT/INPATIENT CONSULTATIONS,99429,"Follow up consultation therapist specialist (physiotherapy, occupational therapy,  speech therapy)",TRUE,
9886,OUTPATIENT/INPATIENT CONSULTATIONS,97802,New consultation Nutritionist,TRUE,
9887,OUTPATIENT/INPATIENT CONSULTATIONS,97803,Follow up consultation Nutritionist,TRUE,
9888,OUTPATIENT/INPATIENT CONSULTATIONS,99205,Registration (new file) for a new patient,TRUE,
9889,OUTPATIENT/INPATIENT CONSULTATIONS,99251,Consultation for observation,TRUE,
9890,CROSS AND PANEL CONSULTATIONS,99252,Cross consultation within and between hospital(s),TRUE,
9891,CROSS AND PANEL CONSULTATIONS,99253,Panel consultation within the same discipline (panel with at least three doctors),TRUE,
9892,CROSS AND PANEL CONSULTATIONS,99254,Panel multidisciplinary consultation (panel with at least three doctors),TRUE,
9893,CROSS AND PANEL CONSULTATIONS,99255,Consultation with a multidisciplinary panel plus administrators,TRUE,
9894,ACCOMODATIONS,99217,High Dependent Unit (HDU),TRUE,
9895,ACCOMODATIONS,99218,VIP room,TRUE,
9896,ACCOMODATIONS,99219,IPPM or Private Room (grade one),TRUE,
9897,ACCOMODATIONS,99220,General ward,TRUE,
9898,ACCOMODATIONS,99234,ICU-CCU ward,TRUE,
9899,ACCOMODATIONS,99235,Rehabilitation ward,TRUE,
9900,ACCOMODATIONS,99236,Isolated or high risk ward,TRUE,
9901,HOME VISITS,99341,New patient home visit with a Clinical Officer/ Clinical Physiotherapist / Occupational Therapist,TRUE,
9902,HOME VISITS,99347,Follow up patient home visit with a Clinical Officer/ Clinical Physiotherapist/ Occupational Therapist,TRUE,
9903,HOME VISITS,99342,New patient home visit with an Assistant Medical Officer (AMO),TRUE,
9904,HOME VISITS,99348,Follow up patient home visit with an Assistant Medical Officer (AMO),TRUE,
9905,HOME VISITS,99343,New patient home visit with a General Practitioner (GP/MD)/ Physiotherapy Officer/ Occupational Therapy officer,TRUE,
9906,HOME VISITS,99349,Follow up patient home visit with a General Practitioner (GP/MD)/ Physiotherapy Officer/ Occupational Therapy officer,TRUE,
9907,HOME VISITS,99344,New patient home visit with a Specialist/ Specialist Physiotherapist,TRUE,
9908,HOME VISITS,99350,Follow up patient home visit with a Specialist/ Specialist Physiotherapist,TRUE,
9909,HOME VISITS,99345,New patient home visit with a Super Specialist,TRUE,
9910,HOME VISITS,99334,Follow up patient home visit with a Super Specialist,TRUE,
9911,HOME VISITS,99339,"New patient home visit with other cardres (nurses, pharmacist, social worker, etc.)",TRUE,
9912,HOME VISITS,99340,"Follow up patient home visit with other cardres (nurses, pharmacist, social worker, etc.)",TRUE,
9913,NURSING CARE SERVICES,99304,Nursing services at the Outpatient Department (OPD),TRUE,
9914,NURSING CARE SERVICES,99305,Nursing care at the general ward,TRUE,
9915,NURSING CARE SERVICES,99306,Nursing services at the Emergency Department (EMD),TRUE,
9916,NURSING CARE SERVICES,99307,Nursing care at the ICU and CCU,TRUE,
9917,NURSING CARE SERVICES,99308,Nursing care at the High Dependent Unit (HDU),TRUE,
9918,NURSING CARE SERVICES,99309,Nursing care at the VIP,TRUE,
9919,NURSING CARE SERVICES,99310,Nursing care at the IPPM or private room (grade one),TRUE,
9920,NURSING CARE SERVICES,99315,Nursing care at the rehabilitation ward,TRUE,
9921,NURSING CARE SERVICES,99316,Nursing care at the isolated or high risk ward,TRUE,
9922,GENERAL SERVICES,99082,Parking services,TRUE,
9923,GENERAL SERVICES,99497,Medical Nutritional Therapy (Oral / Parenteral / Enteral),TRUE,
9924,GENERAL SERVICES,99281,Ambulance services,TRUE,
9925,GENERAL SERVICES,97804,Food Services,TRUE,
9926,TELEPHONE ASSESSMENT & MANAGEMENT SERVICES,98966,"Telephone assessment and management service, 5-10 minutes of medical discussion",TRUE,
9927,TELEPHONE ASSESSMENT & MANAGEMENT SERVICES,98967,"Telephone assessment and management service,11-20 minutes of medical discussion",TRUE,
9928,TELEPHONE ASSESSMENT & MANAGEMENT SERVICES,98968,"Telephone assessment and management service,21-30 minutes of medical discussion",TRUE,
9929,COUNSELLING SERVICES,99381,Provider Initiating Testing and Counseling (PITC) children below 09 years,TRUE,
9930,COUNSELLING SERVICES,99384,Provider Initiating Testing and Counseling (PITC) adolescent,TRUE,
9931,COUNSELLING SERVICES,99385,Provider Initiating Testing and Counseling (PITC) adult,TRUE,
9932,COUNSELLING SERVICES,99406,Counseling,TRUE,
9933,VACCINATION/IMMUNIZATION SERVICES,90476,Inactivated Poliovirus Vaccine (IPV),TRUE,
9934,VACCINATION/IMMUNIZATION SERVICES,90585,Baccile Calmette Guerin (BCG ) Vaccine,TRUE,
9935,VACCINATION/IMMUNIZATION SERVICES,90621,Meningococcus Vaccine,TRUE,
9936,VACCINATION/IMMUNIZATION SERVICES,90649,Human Papilloma Virus (HPV) Vaccine,TRUE,
9937,VACCINATION/IMMUNIZATION SERVICES,90670,Pneumococcal Vaccine (PCV-13),TRUE,
9938,VACCINATION/IMMUNIZATION SERVICES,90675,Rabies Virus Vaccine,TRUE,
9939,VACCINATION/IMMUNIZATION SERVICES,90680,Rotavirus Vaccine,TRUE,
9940,VACCINATION/IMMUNIZATION SERVICES,90696,"Diphtheria, Tetanus Toxoids, Acellular Pertussis, Haemophilus Influenzae Type B, Hepatitis B (DPT+Hepb+Hib) Vaccine",TRUE,
9941,VACCINATION/IMMUNIZATION SERVICES,90707,"Measles, Mumps, and Rubella (MMR) Vaccine",TRUE,
9942,VACCINATION/IMMUNIZATION SERVICES,90713,Poliovirus Vaccine-Oral (OPV),TRUE,
9943,VACCINATION/IMMUNIZATION SERVICES,90714,Tetanus And Diphtheria Toxoids (TT) Vaccine,TRUE,
9944,VACCINATION/IMMUNIZATION SERVICES,90717,Yellow Fever Vaccine,TRUE,
9945,VACCINATION/IMMUNIZATION SERVICES,90739,Hepatitis B Virus (HBV) Vaccine,TRUE,
9946,VACCINATION/IMMUNIZATION SERVICES,90471,Unspecified Vaccination Procedures E.g. New Vaccine,TRUE,
9947,CLINICAL CHEMISTRY,84311,Adenosine Deaminase (ADA) – Serum,TRUE,
9948,CLINICAL CHEMISTRY,82040,Albumin,TRUE,
9949,CLINICAL CHEMISTRY,84182,Albumin/Globulin Ratio,TRUE,
9950,CLINICAL CHEMISTRY,84075,Alkaline Phosphatase (ALP) Serum,TRUE,
9951,CLINICAL CHEMISTRY,84460,Alanine Aminotransferaseor (ALT) / Serum Glutamic Pyruvate Transaminase (SGPT),TRUE,
9952,CLINICAL CHEMISTRY,82150,Amylase,TRUE,
9953,CLINICAL CHEMISTRY,84450,Aspartate Aminotransferase (AST) / Serum Glutamic Oxaloacetic Transaminase (SGOT),TRUE,
9954,CLINICAL CHEMISTRY,84702,Beta - Human Chorionic Gonadotropin (β-HCG) - Serum,TRUE,
9955,CLINICAL CHEMISTRY,82248,Bilirubin Direct,TRUE,
9956,CLINICAL CHEMISTRY,82247,Bilirubin Total,TRUE,
9957,CLINICAL CHEMISTRY,86140,C-Reactive Protein (CRP),TRUE,
9958,CLINICAL CHEMISTRY,82310,Calcium - Serum/Post Dialysis Calcium,TRUE,
9959,CLINICAL CHEMISTRY,82435,Chloride – Serum,TRUE,
9960,CLINICAL CHEMISTRY,82436,Chloride-Urine,TRUE,
9961,CLINICAL CHEMISTRY,82465,Cholesterol (Total),TRUE,
9962,CLINICAL CHEMISTRY,82550,Creatine Kinase (CK- MB),TRUE,
9963,CLINICAL CHEMISTRY,82565,Creatinine/Post Dialysis Creatinine,TRUE,
9964,CLINICAL CHEMISTRY,82945,"Glucose Level on Body Fluids (CSF Ascitic, Peritonial, Pleural, Pericadial, Synovial)",TRUE,
9965,CLINICAL CHEMISTRY,84157,"Protein Level on Body Fluids (CSF, Ascitic, Peritonial, Pleural)",TRUE,
9966,CLINICAL CHEMISTRY,85397,D-Dimer,TRUE,
9967,CLINICAL CHEMISTRY,82728,Ferritin,TRUE,
9968,CLINICAL CHEMISTRY,82746,Folic Acid Level (Folate),TRUE,
9969,CLINICAL CHEMISTRY,82977,Gamma - Glutamyltransferase (GGT),TRUE,
9970,CLINICAL CHEMISTRY,82947,Fasting/Random Blood Glucose (FBG/RBG),TRUE,
9971,CLINICAL CHEMISTRY,83036,Glycosylated Haemoglobin (HbA1c),TRUE,
9972,CLINICAL CHEMISTRY,83718,High Density Lipoprotein (HDL),TRUE,
9973,CLINICAL CHEMISTRY,83540,Iron (Fe),TRUE,
9974,CLINICAL CHEMISTRY,83550,Iron Saturation (% Saturation),TRUE,
9975,CLINICAL CHEMISTRY,83615,Lactate Dehydrogenase (LDH),TRUE,
9976,CLINICAL CHEMISTRY,83721,Low Density Lipoprotein (LDL),TRUE,
9977,CLINICAL CHEMISTRY,83735,Magnesium,TRUE,
9978,CLINICAL CHEMISTRY,84100,Phosphorus/Post Dialysis Phosphorus,TRUE,
9979,CLINICAL CHEMISTRY,84132,Potassium/Post Dialysis Potassium,TRUE,
9980,CLINICAL CHEMISTRY,84156,Protein in Urine,TRUE,
9981,CLINICAL CHEMISTRY,83690,Lipase Serum,TRUE,
9982,CLINICAL CHEMISTRY,84165,Protein Electrophoresis Serum,TRUE,
9983,CLINICAL CHEMISTRY,82607,Vitamin B-12 (Cyanocobalamin),TRUE,
9984,CLINICAL CHEMISTRY,84295,Sodium/Post Dialysis Sodium,TRUE,
9985,CLINICAL CHEMISTRY,84432,Thyroglobulin Antibodies (Tg Ab),TRUE,
9986,CLINICAL CHEMISTRY,84466,Transferrin,TRUE,
9987,CLINICAL CHEMISTRY,84478,Triglycerides,TRUE,
9988,CLINICAL CHEMISTRY,84484,Troponin-I,TRUE,
9989,CLINICAL CHEMISTRY,84560,Uric Acid,TRUE,
9990,CLINICAL CHEMISTRY,80202,Vancomycin Level,TRUE,
9991,CLINICAL CHEMISTRY,82652,"Vitamin D-25 (Dihydroxyvitamin D, 1, 25)",TRUE,
9992,CLINICAL CHEMISTRY,83719,Very Low Density Lipoprotein (VLDL),TRUE,
9993,CLINICAL CHEMISTRY,82570,24Hr Creatinine Urine,TRUE,
9994,CLINICAL CHEMISTRY,84133,24Hr Potassium Urine,TRUE,
9995,CLINICAL CHEMISTRY,84300,24Hr Sodium Urine,TRUE,
9996,CLINICAL CHEMISTRY,84181,Globulin,TRUE,
9997,CLINICAL CHEMISTRY,82374,Carbondioxide Serum,TRUE,
9998,CLINICAL CHEMISTRY,82951,Oral Glucose Tolerance Test (OGTT),TRUE,
9999,CLINICAL CHEMISTRY,84066,Acid Phosphotase Serum,TRUE,
10000,CLINICAL CHEMISTRY,82803,Blood Gas Panel,TRUE,
10001,CLINICAL CHEMISTRY,80375,Urine Drug Screening (UDS ),TRUE,
10002,CLINICAL CHEMISTRY,80299,Quantitation of Therapeutic Drugs,TRUE,
10003,CLINICAL CHEMISTRY,80197,Tacrolimus Level,TRUE,
10004,CLINICAL CHEMISTRY,80195,Sirolimus Level,TRUE,
10005,CLINICAL CHEMISTRY,80169,Everolimus Level,TRUE,
10006,IMMUNOLOGY,82105,Alpha Feto Protein (AFP),TRUE,
10007,IMMUNOLOGY,83880,Brain Natriuretic Peptide (BNP),TRUE,
10008,IMMUNOLOGY,86304,Cancer Antigen - 125 (CA - 125),TRUE,
10009,IMMUNOLOGY,82378,Carcinoembryonic Antigen (CEA),TRUE,
10010,IMMUNOLOGY,82530,Cortisol,TRUE,
10011,IMMUNOLOGY,80158,Cyclosporine Level,TRUE,
10012,IMMUNOLOGY,82670,Estradiol Level,TRUE,
10013,IMMUNOLOGY,83001,Follicle Stimulating Hormone (FSH),TRUE,
10014,IMMUNOLOGY,83003,Growth Hormone (GH),TRUE,
10015,IMMUNOLOGY,82784,Immunoglobulin A (IgA ),TRUE,
10016,IMMUNOLOGY,86001,Immunoglobulin G (IgG),TRUE,
10017,IMMUNOLOGY,86005,Immunoglobulin E for Allergic Substance (IgE),TRUE,
10018,IMMUNOLOGY,83525,Insulin,TRUE,
10019,IMMUNOLOGY,83002,Luteinizing Hormone (LH),TRUE,
10020,IMMUNOLOGY,84144,Progesterone,TRUE,
10021,IMMUNOLOGY,84146,Prolactin,TRUE,
10022,IMMUNOLOGY,84153,Prostate Specific Antigen (PSA) Measurement,TRUE,
10023,IMMUNOLOGY,84152,Prostate Specific Antigen (PSA) Level,TRUE,
10024,IMMUNOLOGY,84681,C – Peptide,TRUE,
10025,IMMUNOLOGY,84402,Testosterone,TRUE,
10026,IMMUNOLOGY,86812,Immunoglobulin M (IgM),TRUE,
10027,IMMUNOLOGY,86807,Complement Dependent Cytotoxicity Compatibility ( CDCC),TRUE,
10028,IMMUNOLOGY,81371,Human Leukocyte Antigen Typing (HLA Typing),TRUE,
10029,IMMUNOLOGY,88182,Flowcytometry Lymphocyte Crossmatch,TRUE,
10030,IMMUNOLOGY,86316,Tumor Markers Analysis ( Others ),TRUE,
10031,IMMUNOLOGY,86829,Donor Specific Antibody (DSA) to HLA Antigen,TRUE,
10032,IMMUNOLOGY,86830,Panel Reactiveantibody Screening HLA Class I & Ii,TRUE,
10033,SEROLOGY,86060,Anti Streptolysin O Titre (ASOT),TRUE,
10034,SEROLOGY,86039,Autoimmune Antibodies (dsDNA),TRUE,
10035,SEROLOGY,86622,Brucella Abortus Antigen (Ag),TRUE,
10036,SEROLOGY,87147,Chlamydia (ELISA),TRUE,
10037,SEROLOGY,86644,Cytomegalovirus Antibody test (CMC-IgG),TRUE,
10038,SEROLOGY,86645,Cytomegalovirus Antibody test (CMV-IgM),TRUE,
10039,SEROLOGY,86664,Epstein Barr Virus IgG – Serum,TRUE,
