id,sub_category,code,description,code
4491,173,99241,New consultation with a Clinical Officer / Dental Therapist,99241
4492,173,99211,Follow up consultation with a Clinical Officer / Dental Therapist,99211
4493,173,99242,New consultation with an Assistant Medical Officer / Assistant Dental Officer,99242
4494,173,99212,Follow up consultation with an Assistant Medical Officer / Assistant Dental Officer,99212
4495,173,99243,New consultation with a Medical Officer / Dental Officer,99243
4496,173,99213,Follow up consultation with a Medical Officer / Dental Officer,99213
4497,173,99244,New consultation with a Medical Specialist / Dental Specialist,99244
4498,173,99214,Follow up consultation with a Medical Specialist / Dental Specialist,99214
4499,173,99245,New consultation with a Super Specialist,99245
4500,173,99215,Follow up consultation with a Super Specialist,99215
4501,173,99382,"New consultation therapist with diploma(physiotherapy, occupational therapy,  speech therapy)",99382
4502,173,97169,"Follow up Consultation therapist with diploma(physiotherapy, occupational therapy,  speech therapy)",97169
4503,173,99383,"New consultation therapist with degree(physiotherapy, occupational therapy,  speech therapy)",99383
4504,173,99386,"Follow up Consultation therapist/psychology with degree(physiotherapy,  occupational therapy, speech therapy)",99386
4505,173,99387,"New consultation therapist/psychology specialist (physiotherapy, occupational  therapy, speech therapy)",99387
4506,173,99429,"Follow up consultation therapist specialist (physiotherapy, occupational therapy,  speech therapy)",99429
4507,173,97802,New consultation Nutritionist,97802
4508,173,97803,Follow up consultation Nutritionist,97803
4509,173,99205,Registration (new file) for a new patient,99205
4510,173,99251,Consultation for observation,99251
4511,174,99252,Cross consultation within and between hospital(s),99252
4512,174,99253,Panel consultation within the same discipline (panel with at least three doctors),99253
4513,174,99254,Panel multidisciplinary consultation (panel with at least three doctors),99254
4514,174,99255,Consultation with a multidisciplinary panel plus administrators,99255
4515,175,99217,High Dependent Unit (HDU),99217
4516,175,99218,VIP room,99218
4517,175,99219,IPPM or Private Room (grade one),99219
4518,175,99220,General ward,99220
4519,175,99234,ICU-CCU ward,99234
4520,175,99235,Rehabilitation ward,99235
4521,175,99236,Isolated or high risk ward,99236
4522,176,99341,New patient home visit with a Clinical Officer/ Clinical Physiotherapist / Occupational Therapist,99341
4523,176,99347,Follow up patient home visit with a Clinical Officer/ Clinical Physiotherapist/ Occupational Therapist,99347
4524,176,99342,New patient home visit with an Assistant Medical Officer (AMO),99342
4525,176,99348,Follow up patient home visit with an Assistant Medical Officer (AMO),99348
4526,176,99343,New patient home visit with a General Practitioner (GP/MD)/ Physiotherapy Officer/ Occupational Therapy officer,99343
4527,176,99349,Follow up patient home visit with a General Practitioner (GP/MD)/ Physiotherapy Officer/ Occupational Therapy officer,99349
4528,176,99344,New patient home visit with a Specialist/ Specialist Physiotherapist,99344
4529,176,99350,Follow up patient home visit with a Specialist/ Specialist Physiotherapist,99350
4530,176,99345,New patient home visit with a Super Specialist,99345
4531,176,99334,Follow up patient home visit with a Super Specialist,99334
4532,176,99339,"New patient home visit with other cardres (nurses, pharmacist, social worker, etc.)",99339
4533,176,99340,"Follow up patient home visit with other cardres (nurses, pharmacist, social worker, etc.)",99340
4534,177,99304,Nursing services at the Outpatient Department (OPD),99304
4535,177,99305,Nursing care at the general ward,99305
4536,177,99306,Nursing services at the Emergency Department (EMD),99306
4537,177,99307,Nursing care at the ICU and CCU,99307
4538,177,99308,Nursing care at the High Dependent Unit (HDU),99308
4539,177,99309,Nursing care at the VIP,99309
4540,177,99310,Nursing care at the IPPM or private room (grade one),99310
4541,177,99315,Nursing care at the rehabilitation ward,99315
4542,177,99316,Nursing care at the isolated or high risk ward,99316
4543,178,99082,Parking services,99082
4544,178,99497,Medical Nutritional Therapy (Oral / Parenteral / Enteral),99497
4545,178,99281,Ambulance services,99281
4546,178,97804,Food Services,97804
4547,179,98966,"Telephone assessment and management service, 5-10 minutes of medical discussion",98966
4548,179,98967,"Telephone assessment and management service,11-20 minutes of medical discussion",98967
4549,179,98968,"Telephone assessment and management service,21-30 minutes of medical discussion",98968
4550,180,99381,Provider Initiating Testing and Counseling (PITC) children below 09 years,99381
4551,180,99384,Provider Initiating Testing and Counseling (PITC) adolescent,99384
4552,180,99385,Provider Initiating Testing and Counseling (PITC) adult,99385
4553,180,99406,Counseling,99406
4554,181,90476,Inactivated Poliovirus Vaccine (IPV),90476
4555,181,90585,Baccile Calmette Guerin (BCG ) Vaccine,90585
4556,181,90621,Meningococcus Vaccine,90621
4557,181,90649,Human Papilloma Virus (HPV) Vaccine,90649
4558,181,90670,Pneumococcal Vaccine (PCV-13),90670
4559,181,90675,Rabies Virus Vaccine,90675
4560,181,90680,Rotavirus Vaccine,90680
4561,181,90696,"Diphtheria, Tetanus Toxoids, Acellular Pertussis, Haemophilus Influenzae Type B, Hepatitis B (DPT+Hepb+Hib) Vaccine",90696
4562,181,90707,"Measles, Mumps, and Rubella (MMR) Vaccine",90707
4563,181,90713,Poliovirus Vaccine-Oral (OPV),90713
4564,181,90714,Tetanus And Diphtheria Toxoids (TT) Vaccine,90714
4565,181,90717,Yellow Fever Vaccine,90717
4566,181,90739,Hepatitis B Virus (HBV) Vaccine,90739
4567,181,90471,Unspecified Vaccination Procedures E.g. New Vaccine,90471
4568,182,84311,Adenosine Deaminase (ADA) – Serum,84311
4569,182,82040,Albumin,82040
4570,182,84182,Albumin/Globulin Ratio,84182
4571,182,84075,Alkaline Phosphatase (ALP) Serum,84075
4572,182,84460,Alanine Aminotransferaseor (ALT) / Serum Glutamic Pyruvate Transaminase (SGPT),84460
4573,182,82150,Amylase,82150
4574,182,84450,Aspartate Aminotransferase (AST) / Serum Glutamic Oxaloacetic Transaminase (SGOT),84450
