CATEGORY,CONSULATIONS AND GENERAL SERVICE
SUBCATEGORY,OUTPATIENT/INPATIENT CONSULTATIONS
99241,New consultation with a Clinical Officer / Dental Therapist
99211,Follow up consultation with a Clinical Officer / Dental Therapist
99242,New consultation with an Assistant Medical Officer / Assistant Dental Officer
99212,Follow up consultation with an Assistant Medical Officer / Assistant Dental Officer
99243,New consultation with a Medical Officer / Dental Officer
99213,Follow up consultation with a Medical Officer / Dental Officer
99244,New consultation with a Medical Specialist / Dental Specialist
99214,Follow up consultation with a Medical Specialist / Dental Specialist
99245,New consultation with a Super Specialist
99215,Follow up consultation with a Super Specialist
99382,"New consultation therapist with diploma(physiotherapy, occupational therapy,  speech therapy)"
97169,"Follow up Consultation therapist with diploma(physiotherapy, occupational therapy,  speech therapy)"
99383,"New consultation therapist with degree(physiotherapy, occupational therapy,  speech therapy)"
99386,"Follow up Consultation therapist/psychology with degree(physiotherapy,  occupational therapy, speech therapy)"
99387,"New consultation therapist/psychology specialist (physiotherapy, occupational  therapy, speech therapy)"
99429,"Follow up consultation therapist specialist (physiotherapy, occupational therapy,  speech therapy)"
97802,New consultation Nutritionist
97803,Follow up consultation Nutritionist
99205,Registration (new file) for a new patient
99251,Consultation for observation
SUBCATEGORY,CROSS AND PANEL CONSULTATIONS
99252,Cross consultation within and between hospital(s)
99253,Panel consultation within the same discipline (panel with at least three doctors)
99254,Panel multidisciplinary consultation (panel with at least three doctors)
99255,Consultation with a multidisciplinary panel plus administrators
SUBCATEGORY,ACCOMODATIONS
99217,High Dependent Unit (HDU)
99218,VIP room
99219,IPPM or Private Room (grade one)
99220,General ward
99234,ICU-CCU ward
99235,Rehabilitation ward
99236,Isolated or high risk ward
SUBCATEGORY,HOME VISITS
99341,New patient home visit with a Clinical Officer/ Clinical Physiotherapist / Occupational Therapist
99347,Follow up patient home visit with a Clinical Officer/ Clinical Physiotherapist/ Occupational Therapist
99342,New patient home visit with an Assistant Medical Officer (AMO)
99348,Follow up patient home visit with an Assistant Medical Officer (AMO)
99343,New patient home visit with a General Practitioner (GP/MD)/ Physiotherapy Officer/ Occupational Therapy officer
99349,Follow up patient home visit with a General Practitioner (GP/MD)/ Physiotherapy Officer/ Occupational Therapy officer
99344,New patient home visit with a Specialist/ Specialist Physiotherapist
99350,Follow up patient home visit with a Specialist/ Specialist Physiotherapist
99345,New patient home visit with a Super Specialist
99334,Follow up patient home visit with a Super Specialist
99339,"New patient home visit with other cardres (nurses, pharmacist, social worker, etc.)"
99340,"Follow up patient home visit with other cardres (nurses, pharmacist, social worker, etc.)"
SUBCATEGORY,NURSING CARE SERVICES
99304,Nursing services at the Outpatient Department (OPD)
99305,Nursing care at the general ward
99306,Nursing services at the Emergency Department (EMD)
99307,Nursing care at the ICU and CCU
99308,Nursing care at the High Dependent Unit (HDU)
99309,Nursing care at the VIP
99310,Nursing care at the IPPM or private room (grade one)
99315,Nursing care at the rehabilitation ward
99316,Nursing care at the isolated or high risk ward
SUBCATEGORY,GENERAL SERVICES
99082,Parking services
99497,Medical Nutritional Therapy (Oral / Parenteral / Enteral)
99281,Ambulance services
97804,Food Services
SUBCATEGORY,TELEPHONE ASSESSMENT & MANAGEMENT SERVICES
98966,"Telephone assessment and management service, 5-10 minutes of medical discussion"
98967,"Telephone assessment and management service,11-20 minutes of medical discussion"
98968,"Telephone assessment and management service,21-30 minutes of medical discussion"
SUBCATEGORY,COUNSELLING SERVICES
99381,Provider Initiating Testing and Counseling (PITC) children below 09 years
99384,Provider Initiating Testing and Counseling (PITC) adolescent
99385,Provider Initiating Testing and Counseling (PITC) adult
99406,Counseling
SUBCATEGORY,VACCINATION/IMMUNIZATION SERVICES
90476,Inactivated Poliovirus Vaccine (IPV)
90585,Baccile Calmette Guerin (BCG ) Vaccine
90621,Meningococcus Vaccine
90649,Human Papilloma Virus (HPV) Vaccine
90670,Pneumococcal Vaccine (PCV-13)
90675,Rabies Virus Vaccine
90680,Rotavirus Vaccine
90696,"Diphtheria, Tetanus Toxoids, Acellular Pertussis, Haemophilus Influenzae Type B, Hepatitis B (DPT+Hepb+Hib) Vaccine"
90707,"Measles, Mumps, and Rubella (MMR) Vaccine"
90713,Poliovirus Vaccine-Oral (OPV)
90714,Tetanus And Diphtheria Toxoids (TT) Vaccine
90717,Yellow Fever Vaccine
90739,Hepatitis B Virus (HBV) Vaccine
90471,Unspecified Vaccination Procedures E.g. New Vaccine
CATEGORY,LABORATORY SERVICES
SUBCATEGORY,CLINICAL CHEMISTRY
84311,Adenosine Deaminase (ADA) – Serum
82040,Albumin
84182,Albumin/Globulin Ratio
84075,Alkaline Phosphatase (ALP) Serum
84460,Alanine Aminotransferaseor (ALT) / Serum Glutamic Pyruvate Transaminase (SGPT)
82150,Amylase
84450,Aspartate Aminotransferase (AST) / Serum Glutamic Oxaloacetic Transaminase (SGOT)
84702,Beta - Human Chorionic Gonadotropin (β-HCG) - Serum
82248,Bilirubin Direct
82247,Bilirubin Total
86140,C-Reactive Protein (CRP)
82310,Calcium - Serum/Post Dialysis Calcium
82435,Chloride – Serum
82436,Chloride-Urine
82465,Cholesterol (Total)
82550,Creatine Kinase (CK- MB)
82565,Creatinine/Post Dialysis Creatinine
82945,"Glucose Level on Body Fluids (CSF Ascitic, Peritonial, Pleural, Pericadial, Synovial)"
84157,"Protein Level on Body Fluids (CSF, Ascitic, Peritonial, Pleural)"
85397,D-Dimer
82728,Ferritin
82746,Folic Acid Level (Folate)
82977,Gamma - Glutamyltransferase (GGT)
82947,Fasting/Random Blood Glucose (FBG/RBG)
83036,Glycosylated Haemoglobin (HbA1c)
83718,High Density Lipoprotein (HDL)
83540,Iron (Fe)
83550,Iron Saturation (% Saturation)
83615,Lactate Dehydrogenase (LDH)
83721,Low Density Lipoprotein (LDL)
83735,Magnesium
84100,Phosphorus/Post Dialysis Phosphorus
84132,Potassium/Post Dialysis Potassium
84156,Protein in Urine
83690,Lipase Serum
84165,Protein Electrophoresis Serum
82607,Vitamin B-12 (Cyanocobalamin)
84295,Sodium/Post Dialysis Sodium
